/r"out_DTC X,/out_DTC Y,/in_DTC X,/in_DTC Y,/V_ramp X,/V_ramp Y,/V_n X,/V_n Y,D X,D LogicBus
8.303255247759776e-07,-0.0001684123574259375,8.30369798802386e-07,0.2864426347507697,8.303255247759776e-07,0.5121441199324421,8.303255247759776e-07,0.6311531345592892,  ,  
8.303256963243241e-07,-0.0001676205571139758,8.30370118807242e-07,0.2857386240674905,8.303256963243241e-07,0.5121578804132473,8.303256963243241e-07,0.6311530773463166,  ,  
8.303258526941581e-07,-0.0001668472705618561,8.303704382088862e-07,0.2850359404503174,8.303258526941581e-07,0.5121717074666515,8.303258526941581e-07,0.6311530252066259,  ,  
8.303260765062023e-07,-0.0001656504305661708,8.30370760693042e-07,0.284326475307607,8.303260765062023e-07,0.5121937599209562,8.303260765062023e-07,0.6311529505977244,  ,  
8.303263942292533e-07,-0.0001637734824187073,8.303710881266854e-07,0.2836061212921065,8.303263942292533e-07,0.51222989925955,8.303263942292533e-07,0.6311528447205289,  ,  
8.303267475801314e-07,-0.0001614745985615051,8.303714143683012e-07,0.2828883897372398,8.303267475801314e-07,0.512277142884316,8.303267475801314e-07,0.6311527270209524,  ,  
8.30327078546005e-07,-0.0001590085352273424,8.30371752571636e-07,0.2821443424007517,8.30327078546005e-07,0.5123284222185954,8.30327078546005e-07,0.6311526168302761,  ,  
8.303274123289533e-07,-0.0001563433059471411,8.303721179171247e-07,0.2813405823256139,8.303274123289533e-07,0.5123873925325567,8.303274123289533e-07,0.6311525057478187,  ,  
8.303277485342221e-07,-0.0001536250808877439,8.303725189426799e-07,0.280458326104244,8.303277485342221e-07,0.5124544833226716,8.303277485342221e-07,0.6311523938998597,  ,  
8.303280024035076e-07,-0.0001515258880676204,8.303729958144085e-07,0.2794092083012164,8.303280024035076e-07,0.5125109986387327,8.303280024035076e-07,0.6311523094724009,  ,  
8.303281978534954e-07,-0.0001499210048351049,8.30373438412904e-07,0.2784354916111246,8.303281978534954e-07,0.5125572727413722,8.303281978534954e-07,0.6311522444871551,  ,  
8.303283645141075e-07,-0.0001485439861870693,8.303738633575052e-07,0.2775006134886165,8.303283645141075e-07,0.512598922455017,8.303283645141075e-07,0.6311521890849748,  ,  
8.303285110562408e-07,-0.0001473282430996719,8.303743920420708e-07,0.2763375074441102,8.303285110562408e-07,0.5126372263221373,8.303285110562408e-07,0.6311521403788892,  ,  
8.303286465649477e-07,-0.0001462029478205164,8.303749053539838e-07,0.2752082212356075,8.303286465649477e-07,0.5126740536185568,8.303286465649477e-07,0.6311520953466784,  ,  
8.3032877637325e-07,-0.0001451286736875337,8.303754713110829e-07,0.2739631156176023,8.3032877637325e-07,0.5127106008439388,8.3032877637325e-07,0.6311520522146733,  ,  
8.303289029503825e-07,-0.0001440909919703144,8.303760793532569e-07,0.272625422834881,8.303289029503825e-07,0.5127474369774213,8.303289029503825e-07,0.631152010161546,  ,  
8.303290276892353e-07,-0.0001430866597867053,8.303767172086717e-07,0.2712221409222132,8.303290276892353e-07,0.5127849009662707,8.303290276892353e-07,0.6311519687238516,  ,  
8.303291515496301e-07,-0.0001421195763658553,8.303773831453095e-07,0.2697570803190819,8.303291515496301e-07,0.5128232440268256,8.303291515496301e-07,0.6311519275820753,  ,  
8.303292769328388e-07,-0.0001411895241016716,8.303780769992583e-07,0.2682306016316379,8.303292769328388e-07,0.5128632115151998,8.303292769328388e-07,0.6311518859378652,  ,  
8.303294046223351e-07,-0.0001403120236485787,8.303788047181161e-07,0.2666296201444904,8.303294046223351e-07,0.5129051105157176,8.303294046223351e-07,0.6311518435303642,  ,  
8.303295459038258e-07,-0.0001394629797218784,8.303794871160882e-07,0.2651283446058348,8.303295459038258e-07,0.5129528647873388,8.303295459038258e-07,0.6311517966102628,  ,  
8.303296865103396e-07,-0.0001387900488294341,8.303801197655149e-07,0.2637365158671202,8.303296865103396e-07,0.5130018306320187,8.303296865103396e-07,0.6311517499139992,  ,  
8.303298254999247e-07,-0.0001383531657943941,8.303806884505199e-07,0.2624854088560842,8.303298254999247e-07,0.5130516284484893,8.303298254999247e-07,0.6311517037521134,  ,  
8.303299608066872e-07,-0.0001382217113774955,8.303812269353428e-07,0.2613007422457959,8.303299608066872e-07,0.5131014054092933,8.303299608066872e-07,0.631151658807323,  ,  
8.303300999784629e-07,-0.0001384721343094166,8.303817657753293e-07,0.2601152942754389,8.303300999784629e-07,0.5131539395899284,8.303300999784629e-07,0.6311516125691409,  ,  
8.303302751568893e-07,-0.0001395170338283678,8.303823439128057e-07,0.2588433918273785,8.303302751568893e-07,0.5132219461741876,8.303302751568893e-07,0.6311515543471138,  ,  
