delay (Vbp=0) X,delay (Vbp=0) Y,delay (Vbp=0.55) X,delay (Vbp=0.55) Y,delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y,delay (Vbp=2) X,delay (Vbp=2) Y
3.46e-06,1.679353727008799e-09,3.46e-06,2.377537791496253e-09,3.46e-06,3.026289563204664e-09,3.46e-06,3.379301289188483e-09,3.46e-06,3.737294609139307e-09
3.48e-06,1.692410713264916e-09,3.48e-06,2.394459133430068e-09,3.48e-06,3.046694094292962e-09,3.48e-06,3.401505223918017e-09,3.48e-06,3.762062501608476e-09
3.5e-06,1.705475743809037e-09,3.5e-06,2.411673204597032e-09,3.5e-06,3.066172920848606e-09,3.5e-06,3.422949914290647e-09,3.5e-06,3.785090674884266e-09
3.52e-06,1.718722085113945e-09,3.52e-06,2.428923576094507e-09,3.52e-06,3.087108460581684e-09,3.52e-06,3.445396718676906e-09,3.52e-06,3.80820186654078e-09
3.54e-06,1.731850252984448e-09,3.54e-06,2.445745306991047e-09,3.54e-06,3.106783586555582e-09,3.54e-06,3.467404961016733e-09,3.54e-06,3.832597166095309e-09
3.56e-06,1.744560667563084e-09,3.56e-06,2.462424037250836e-09,3.56e-06,3.127666913420145e-09,3.56e-06,3.489215661419063e-09,3.56e-06,3.856636628950448e-09
3.58e-06,1.757757185680776e-09,3.58e-06,2.479425029741927e-09,3.58e-06,3.148736385817919e-09,3.58e-06,3.512131443223415e-09,3.58e-06,3.881148939881939e-09
3.6e-06,1.770913331124389e-09,3.6e-06,2.496585633795053e-09,3.6e-06,3.167880214741489e-09,3.6e-06,3.533340085822002e-09,3.6e-06,3.904231830523341e-09
3.62e-06,1.783901119767358e-09,3.62e-06,2.513261921124481e-09,3.62e-06,3.188392531828029e-09,3.62e-06,3.555353460658648e-09,3.62e-06,3.928086404492697e-09
3.64e-06,1.79708691513862e-09,3.64e-06,2.529964313583991e-09,3.64e-06,3.208484516361527e-09,3.64e-06,3.578351937370662e-09,3.64e-06,3.952440638386577e-09
3.66e-06,1.810318980561278e-09,3.66e-06,2.547148595366372e-09,3.66e-06,3.230228135003616e-09,3.66e-06,3.600254518076014e-09,3.66e-06,3.976061653417248e-09
3.68e-06,1.823555690884318e-09,3.68e-06,2.564374015628465e-09,3.68e-06,3.250093000694281e-09,3.68e-06,3.622704699379653e-09,3.68e-06,4.000837101149384e-09
3.7e-06,1.836404437317733e-09,3.7e-06,2.580222127071177e-09,3.7e-06,3.26954657295709e-09,3.7e-06,3.64484167488368e-09,3.7e-06,4.024865531515656e-09
3.72e-06,1.850050135741628e-09,3.72e-06,2.59778072363789e-09,3.72e-06,3.290306579871775e-09,3.72e-06,3.667122722187739e-09,3.72e-06,4.048332694142508e-09
3.74e-06,1.862731593303707e-09,3.74e-06,2.614919524842994e-09,3.74e-06,3.311592268615444e-09,3.74e-06,3.689235726449306e-09,3.74e-06,4.072250522728979e-09
3.76e-06,1.876210609121947e-09,3.76e-06,2.632202751847345e-09,3.76e-06,3.33076955367692e-09,3.76e-06,3.711603993857988e-09,3.76e-06,4.096722152308589e-09
3.78e-06,1.888652206393671e-09,3.78e-06,2.648343512536567e-09,3.78e-06,3.352057483561697e-09,3.78e-06,3.733703140375485e-09,3.78e-06,4.12080673659956e-09
3.8e-06,1.902432050365957e-09,3.8e-06,2.665886180653175e-09,3.8e-06,3.372899555434826e-09,3.8e-06,3.755839500203164e-09,3.8e-06,4.144187656063566e-09
3.82e-06,1.914056077150383e-09,3.82e-06,2.683014760392469e-09,3.82e-06,3.393150711580767e-09,3.82e-06,3.77789969266464e-09,3.82e-06,4.167555926333839e-09
3.84e-06,1.928645041688913e-09,3.84e-06,2.699287108605558e-09,3.84e-06,3.413854807717729e-09,3.84e-06,3.8002197010589e-09,3.84e-06,4.190668265459402e-09
3.86e-06,1.940253938198123e-09,3.86e-06,2.717188749786576e-09,3.86e-06,3.433938144117156e-09,3.86e-06,3.822398913643636e-09,3.86e-06,4.215373929715971e-09
3.88e-06,1.954433623667274e-09,3.88e-06,2.733622788093137e-09,3.88e-06,3.454749717920896e-09,3.88e-06,3.844033148182559e-09,3.88e-06,4.240969487032511e-09
3.9e-06,1.968049608978081e-09,3.9e-06,2.750180181811696e-09,3.9e-06,3.474840224337585e-09,3.9e-06,3.866776856847136e-09,3.9e-06,4.264156503260095e-09
3.92e-06,1.981113758276657e-09,3.92e-06,2.768261918969008e-09,3.92e-06,3.49518105828767e-09,3.92e-06,3.889362810205702e-09,3.92e-06,4.288694580669821e-09
3.94e-06,1.994397479727673e-09,3.94e-06,2.785200732986106e-09,3.94e-06,3.515372846970791e-09,3.94e-06,3.911078959679501e-09,3.94e-06,4.313134404250852e-09
3.96e-06,2.007447623312102e-09,3.96e-06,2.801586644337764e-09,3.96e-06,3.536514048758804e-09,3.96e-06,3.933804761604277e-09,3.96e-06,4.336779558509737e-09
