"P_inst (c0=1,c1=1,c2=1,c3=0) X","P_inst (c0=1,c1=1,c2=1,c3=0) Y"
7.415991082095261e-08,0.0003192367682238148
7.416114412403408e-08,0.000294830045912421
7.416205994514644e-08,0.0002782350956927382
7.416305093687926e-08,0.0002627471862557019
7.416417664596283e-08,0.000246501574178494
7.416532727147297e-08,0.0002303369784032015
7.416647181587864e-08,0.0002141993217592118
7.416780261365405e-08,0.0001952344854598541
7.416953155711852e-08,0.0001701577321922746
7.417161488085935e-08,0.0001398199382838635
7.417314829724342e-08,0.0001196528295152343
7.417469609095827e-08,0.0001030171759971107
7.417720076565918e-08,8.34788666081042e-05
7.417980685657773e-08,7.014207375493786e-05
7.418255435970757e-08,6.858750725833236e-05
7.418476077982389e-08,8.047707007268173e-05
7.418722003718893e-08,0.0001003321545680887
7.418928056489526e-08,0.0001089446543697047
7.419162754331149e-08,0.000103632961307633
7.419317981922656e-08,0.0001068717234088048
7.419410649110233e-08,0.0001149571260298508
7.419494222306636e-08,0.0001198712961533254
7.419575238563026e-08,0.0001177163744158922
7.419672896849989e-08,0.0001041179432895581
7.419775187569564e-08,7.956456952309245e-05
7.419871098841436e-08,5.497247317276513e-05
7.419946594082371e-08,3.937118032062354e-05
7.420000000000002e-08,3.184279381634265e-05
7.420036846657913e-08,2.852173801780018e-05
7.420110539973735e-08,2.403503357401517e-05
7.420172770064017e-08,2.19806886760708e-05
7.420292209141115e-08,1.965831849092983e-05
7.420389447800678e-08,1.834292200709697e-05
7.420520382440181e-08,1.690687077498897e-05
7.420666031840709e-08,1.56634133659786e-05
7.420901254967294e-08,1.429413267259151e-05
7.421226706198426e-08,1.324640444499447e-05
7.421713317047348e-08,1.244593973658666e-05
7.422170979018571e-08,1.193543968700382e-05
7.422693921822361e-08,1.142354993334371e-05
7.423305858993656e-08,1.085997615096481e-05
7.42420126327075e-08,1.005945674768405e-05
7.425563001492904e-08,8.903089996251658e-06
7.427436246393904e-08,8.443528365717081e-06
7.429257719859968e-08,1.110075130224469e-05
7.431207641396715e-08,1.497078685633732e-05
7.431895664553558e-08,1.576389627488781e-05
7.432343849930726e-08,1.549777508248519e-05
7.432818141303183e-08,1.435421076385555e-05
