leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) X,leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) Y
5.257856831963901e-08,1.504770333275953e-05
5.258300233615912e-08,1.751068917285135e-05
5.258802789579829e-08,1.904652500566285e-05
5.259018033484203e-08,1.995324151703532e-05
5.259098080173826e-08,2.063328592424734e-05
5.259183051149702e-08,2.166748836370726e-05
5.259249424177e-08,2.274848360669011e-05
5.259382170231597e-08,2.577205484544962e-05
5.259639924585849e-08,3.474346753329226e-05
5.259862943576816e-08,4.318978575512548e-05
5.260018033484203e-08,4.729250379138271e-05
5.260055868813727e-08,4.78687497857605e-05
5.260115209922635e-08,4.849091968474177e-05
5.260165439986367e-08,4.868557351934813e-05
5.260265900113831e-08,4.82443611228388e-05
5.260466820368759e-08,4.891339355187877e-05
5.260636266705638e-08,5.831277367268472e-05
5.260778977893428e-08,6.738572002756862e-05
5.260910891819265e-08,7.041631858514301e-05
5.261076578755866e-08,6.554382387821251e-05
5.261234304549251e-08,6.196806575792905e-05
5.261363415425435e-08,7.065133537303579e-05
5.261465128158441e-08,7.498071357438196e-05
5.261538004716585e-08,7.231778020458427e-05
5.261634243817676e-08,6.310777307679693e-05
5.261720607569368e-08,5.201918560442808e-05
5.261801982834108e-08,4.187954737439011e-05
5.261869946053023e-08,3.477832530234451e-05
5.261939584434213e-08,3.013370675473238e-05
5.262018667498427e-08,2.796266283788469e-05
5.262080967676362e-08,2.732879997520379e-05
5.262158201707346e-08,2.69715002561015e-05
5.262232271141975e-08,2.681167928717412e-05
5.262328265470319e-08,2.671964654636171e-05
5.262449183042204e-08,2.66831608063232e-05
5.262643351030714e-08,2.668241151852622e-05
5.26289216213152e-08,2.670017322720214e-05
5.263210800007717e-08,2.670541905935733e-05
5.26364062430306e-08,2.662338535534764e-05
5.264317718514369e-08,2.606955291650128e-05
5.264999999999999e-08,2.469463823270888e-05
5.265337956220531e-08,2.289431513495199e-05
5.265745399737672e-08,2.081806112270802e-05
5.266130011210869e-08,1.898809985522751e-05
5.266899234157263e-08,1.575177749542156e-05
5.268007119815054e-08,1.206919085172929e-05
5.269493293001278e-08,8.746485736163288e-06
5.271009566797564e-08,6.815492065923398e-06
5.272771298215806e-08,5.714767552189513e-06
5.275061348929795e-08,5.174169758178076e-06
5.277838844056902e-08,5.001884422571881e-06
5.280918208566509e-08,4.966176829786592e-06
5.284536996477713e-08,4.960412466436304e-06
