Point,Corner,d0,d2,d1,d3,d4,mc_iteration,delay,P_avg,P_out
248,tt_mc,0,1,1,0,1,8,5.93876E-09,9.43031E-07,4.16776E-08
488,tt_mc,1,1,0,0,1,8,5.66001E-09,8.83674E-07,3.81963E-08
168,tt_mc,0,1,0,0,1,8,5.36809E-09,8.83327E-07,4.08965E-08
408,tt_mc,1,0,1,0,1,8,5.04894E-09,9.16926E-07,4.21718E-08
88,tt_mc,0,0,1,0,1,8,4.77109E-09,9.46732E-07,4.06526E-08
328,tt_mc,1,0,0,0,1,8,4.49501E-09,7.87341E-07,2.26523E-08
8,tt_mc,0,0,0,0,1,8,4.20051E-09,8.58699E-07,3.99758E-08
629,tt_mc,1,1,1,1,0,9,1.33989E-08,8.66727E-07,1.63638E-08
309,tt_mc,0,1,1,1,0,9,1.30857E-08,8.69907E-07,1.46811E-08
549,tt_mc,1,1,0,1,0,9,1.27759E-08,8.66139E-07,1.87426E-08
229,tt_mc,0,1,0,1,0,9,1.24625E-08,8.60405E-07,2.17266E-08
469,tt_mc,1,0,1,1,0,9,1.21482E-08,9.25112E-07,2.20719E-08
149,tt_mc,0,0,1,1,0,9,1.18335E-08,8.98908E-07,2.10162E-08
389,tt_mc,1,0,0,1,0,9,1.15241E-08,9.21679E-07,2.67528E-08
69,tt_mc,0,0,0,1,0,9,1.11978E-08,8.59887E-07,1.96168E-08
589,tt_mc,1,1,1,0,0,9,1.08817E-08,8.64574E-07,2.4088E-08
269,tt_mc,0,1,1,0,0,9,1.0553E-08,8.8121E-07,2.204E-08
509,tt_mc,1,1,0,0,0,9,1.02406E-08,8.29604E-07,2.05524E-08
189,tt_mc,0,1,0,0,0,9,9.91804E-09,9.76654E-07,3.8725E-08
429,tt_mc,1,0,1,0,0,9,9.59028E-09,9.23557E-07,3.73618E-08
109,tt_mc,0,0,1,0,0,9,9.27336E-09,9.70154E-07,3.88551E-08
349,tt_mc,1,0,0,0,0,9,8.96093E-09,9.16001E-07,2.52689E-08
29,tt_mc,0,0,0,0,0,9,8.64565E-09,8.07175E-07,2.2719E-08
609,tt_mc,1,1,1,1,1,9,8.64564E-09,8.07445E-07,2.29778E-08
289,tt_mc,0,1,1,1,1,9,8.34312E-09,8.98012E-07,3.30895E-08
529,tt_mc,1,1,0,1,1,9,8.03134E-09,8.51696E-07,2.61573E-08
209,tt_mc,0,1,0,1,1,9,7.72605E-09,8.80419E-07,3.59433E-08
449,tt_mc,1,0,1,1,1,9,7.42242E-09,9.42103E-07,4.5839E-08
129,tt_mc,0,0,1,1,1,9,7.12484E-09,8.68025E-07,3.17583E-08
369,tt_mc,1,0,0,1,1,9,6.80554E-09,7.89158E-07,2.70276E-08
49,tt_mc,0,0,0,1,1,9,6.52934E-09,8.83054E-07,2.71558E-08
569,tt_mc,1,1,1,0,1,9,6.23878E-09,9.09862E-07,3.76743E-08
249,tt_mc,0,1,1,0,1,9,5.94965E-09,8.67883E-07,3.87699E-08
489,tt_mc,1,1,0,0,1,9,5.65571E-09,8.92744E-07,4.32127E-08
169,tt_mc,0,1,0,0,1,9,5.35798E-09,8.38065E-07,2.89215E-08
409,tt_mc,1,0,1,0,1,9,5.06652E-09,8.75631E-07,4.30489E-08
89,tt_mc,0,0,1,0,1,9,4.75824E-09,8.6134E-07,4.09828E-08
329,tt_mc,1,0,0,0,1,9,4.47136E-09,8.06144E-07,2.2813E-08
9,tt_mc,0,0,0,0,1,9,4.20248E-09,8.80513E-07,4.80096E-08
630,tt_mc,1,1,1,1,0,10,1.33955E-08,8.84061E-07,1.39899E-08
310,tt_mc,0,1,1,1,0,10,1.30883E-08,8.85541E-07,1.89653E-08
550,tt_mc,1,1,0,1,0,10,1.278E-08,8.96234E-07,2.06605E-08
230,tt_mc,0,1,0,1,0,10,1.24658E-08,8.85614E-07,1.89352E-08
470,tt_mc,1,0,1,1,0,10,1.21635E-08,8.75841E-07,1.83583E-08
150,tt_mc,0,0,1,1,0,10,1.18358E-08,9.16338E-07,2.28049E-08
390,tt_mc,1,0,0,1,0,10,1.15212E-08,9.67752E-07,3.494E-08
70,tt_mc,0,0,0,1,0,10,1.12001E-08,8.72808E-07,1.76022E-08
590,tt_mc,1,1,1,0,0,10,1.08795E-08,8.75401E-07,2.31112E-08
270,tt_mc,0,1,1,0,0,10,1.05634E-08,8.99839E-07,3.10828E-08
510,tt_mc,1,1,0,0,0,10,1.02439E-08,8.74721E-07,2.69765E-08
190,tt_mc,0,1,0,0,0,10,9.91946E-09,8.12942E-07,1.53109E-08
430,tt_mc,1,0,1,0,0,10,9.59318E-09,8.903E-07,2.9777E-08
110,tt_mc,0,0,1,0,0,10,9.27803E-09,9.13368E-07,3.35095E-08
350,tt_mc,1,0,0,0,0,10,8.96718E-09,8.99913E-07,3.17996E-08
30,tt_mc,0,0,0,0,0,10,8.65197E-09,8.095E-07,2.34427E-08
610,tt_mc,1,1,1,1,1,10,8.65136E-09,8.09642E-07,2.13912E-08
290,tt_mc,0,1,1,1,1,10,8.33828E-09,8.92394E-07,3.71159E-08
530,tt_mc,1,1,0,1,1,10,8.02655E-09,8.57746E-07,2.98871E-08
210,tt_mc,0,1,0,1,1,10,7.72565E-09,1.00075E-06,4.37199E-08
450,tt_mc,1,0,1,1,1,10,7.42737E-09,9.72035E-07,4.01704E-08
130,tt_mc,0,0,1,1,1,10,7.12729E-09,9.35816E-07,4.19726E-08
370,tt_mc,1,0,0,1,1,10,6.82596E-09,8.11727E-07,2.47957E-08
50,tt_mc,0,0,0,1,1,10,6.52927E-09,9.59895E-07,3.80611E-08
