Point,Corner,d0,d1,d2,d3,d4,temperature,delay,P_avg
19,tt_0,1,0,0,1,0,-55,7.67E-09,7.18E-06
27,tt_1,1,1,0,1,0,0,7.68E-09,6.98E-06
19,fs_2,1,0,0,1,0,80,7.69E-09,6.15E-06
15,sf_2,0,1,1,1,0,80,7.71E-09,8.43E-06
28,ss_0,1,1,0,1,1,-55,7.77E-09,5.29E-06
23,tt_2,1,0,1,1,0,80,7.79E-09,7.95E-06
21,fs_0,1,0,1,0,0,-55,7.80E-09,5.20E-06
17,ss_2,1,0,0,0,0,80,7.80E-09,1.67E-06
29,fs_1,1,1,1,0,0,0,7.81E-09,5.66E-06
11,tt_0,0,1,0,1,0,-55,7.84E-09,7.68E-06
11,fs_2,0,1,0,1,0,80,7.85E-09,6.60E-06
7,tt_1,0,0,1,1,0,0,7.86E-09,7.49E-06
13,fs_0,0,1,1,0,0,-55,7.96E-09,5.70E-06
3,fs_1,0,0,0,1,0,0,7.97E-09,6.20E-06
8,ss_0,0,0,1,1,1,-55,7.98E-09,4.68E-06
16,ss_1,0,1,1,1,1,0,7.99E-09,2.73E-06
9,ss_2,0,1,0,0,0,80,8.00E-09,2.28E-06
27,tt_0,1,1,0,1,0,-55,8.01E-09,8.16E-06
27,fs_2,1,1,0,1,0,80,8.03E-09,7.11E-06
23,tt_1,1,0,1,1,0,0,8.04E-09,7.94E-06
15,tt_2,0,1,1,1,0,80,8.06E-09,8.43E-06
19,fs_1,1,0,0,1,0,0,8.14E-09,6.69E-06
7,tt_0,0,0,1,1,0,-55,8.17E-09,8.70E-06
1,ss_1,0,0,0,0,0,0,8.19E-09,2.13E-06
7,fs_2,0,0,1,1,0,80,8.22E-09,7.62E-06
15,tt_1,0,1,1,1,0,0,8.22E-09,8.43E-06
3,fs_0,0,0,0,1,0,-55,8.30E-09,6.79E-06
11,fs_1,0,1,0,1,0,0,8.31E-09,7.16E-06
23,tt_0,1,0,1,1,0,-55,8.34E-09,9.15E-06
16,ss_0,0,1,1,1,1,-55,8.39E-09,3.43E-06
17,ss_1,1,0,0,0,0,0,8.40E-09,2.69E-06
5,ss_2,0,0,1,0,0,80,8.42E-09,3.50E-06
23,fs_2,1,0,1,1,0,80,8.42E-09,8.05E-06
19,fs_0,1,0,0,1,0,-55,8.47E-09,7.21E-06
27,fs_1,1,1,0,1,0,0,8.48E-09,7.64E-06
15,tt_0,0,1,1,1,0,-55,8.51E-09,9.65E-06
1,ss_0,0,0,0,0,0,-55,8.60E-09,2.83E-06
9,ss_1,0,1,0,0,0,0,8.61E-09,3.27E-06
15,fs_2,0,1,1,1,0,80,8.62E-09,8.54E-06
21,ss_2,1,0,1,0,0,80,8.63E-09,4.13E-06
11,fs_0,0,1,0,1,0,-55,8.63E-09,7.74E-06
7,fs_1,0,0,1,1,0,0,8.65E-09,8.12E-06
27,fs_0,1,1,0,1,0,-55,8.80E-09,8.22E-06
17,ss_0,1,0,0,0,0,-55,8.81E-09,3.38E-06
23,fs_1,1,0,1,1,0,0,8.82E-09,8.62E-06
13,ss_2,0,1,1,0,0,80,8.83E-09,4.72E-06
7,fs_0,0,0,1,1,0,-55,8.97E-09,8.71E-06
15,fs_1,0,1,1,1,0,0,8.99E-09,9.16E-06
9,ss_0,0,1,0,0,0,-55,9.01E-09,3.98E-06
5,ss_1,0,0,1,0,0,0,9.02E-09,4.47E-06
29,ss_2,1,1,1,0,0,80,9.04E-09,5.32E-06
23,fs_0,1,0,1,1,0,-55,9.14E-09,9.21E-06
21,ss_1,1,0,1,0,0,0,9.23E-09,5.07E-06
3,ss_2,0,0,0,1,0,80,9.25E-09,5.90E-06
15,fs_0,0,1,1,1,0,-55,9.30E-09,9.67E-06
5,ss_0,0,0,1,0,0,-55,9.43E-09,5.08E-06
13,ss_1,0,1,1,0,0,0,9.43E-09,5.63E-06
19,ss_2,1,0,0,1,0,80,9.46E-09,6.45E-06
21,ss_0,1,0,1,0,0,-55,9.59E-09,5.75E-06
29,ss_1,1,1,1,0,0,0,9.64E-09,6.25E-06
11,ss_2,0,1,0,1,0,80,9.68E-09,7.06E-06
13,ss_0,0,1,1,0,0,-55,9.81E-09,6.29E-06
3,ss_1,0,0,0,1,0,0,9.81E-09,6.81E-06
27,ss_2,1,1,0,1,0,80,9.86E-09,7.57E-06
29,ss_0,1,1,1,0,0,-55,1.00E-08,6.86E-06
19,ss_1,1,0,0,1,0,0,1.00E-08,7.39E-06
7,ss_2,0,0,1,1,0,80,1.01E-08,8.09E-06
11,ss_1,0,1,0,1,0,0,1.03E-08,7.99E-06
3,ss_0,0,0,0,1,0,-55,1.03E-08,7.54E-06
23,ss_2,1,0,1,1,0,80,1.03E-08,8.76E-06
27,ss_1,1,1,0,1,0,0,1.05E-08,8.73E-06
19,ss_0,1,0,0,1,0,-55,1.05E-08,8.21E-06
15,ss_2,0,1,1,1,0,80,1.07E-08,9.58E-06
7,ss_1,0,0,1,1,0,0,1.09E-08,9.45E-06
11,ss_0,0,1,0,1,0,-55,1.09E-08,8.89E-06
23,ss_1,1,0,1,1,0,0,1.14E-08,1.01E-05
27,ss_0,1,1,0,1,0,-55,1.15E-08,9.52E-06
15,ss_1,0,1,1,1,0,0,1.21E-08,1.08E-05
7,ss_0,0,0,1,1,0,-55,1.22E-08,1.02E-05
23,ss_0,1,0,1,1,0,-55,1.34E-08,1.08E-05
15,ss_0,0,1,1,1,0,-55,1.50E-08,1.14E-05
24,ss_0,1,0,1,1,1,-55,8.19E-09,4.07E-06
24,ss_1,1,0,1,1,1,0,7.78E-09,3.36E-06
24,ss_2,1,0,1,1,1,80,7.17E-09,2.35E-06
24,tt_0,1,0,1,1,1,-55,5.83E-09,3.73E-06
24,tt_1,1,0,1,1,1,0,5.50E-09,2.54E-06
24,tt_2,1,0,1,1,1,80,5.01E-09,2.56E-06
25,ff_0,1,1,0,0,0,-55,4.36E-09,3.61E-06
25,ff_1,1,1,0,0,0,0,4.11E-09,3.34E-06
