P_DTC_t (MC0=60) X,P_DTC_t (MC0=60) Y
1.05039269694322e-06,0.0003638229534737107
1.050394356065044e-06,0.0003545077350584999
1.050396112520829e-06,0.000345208936221974
1.050398007968422e-06,0.000335274429482391
1.050400108702536e-06,0.0003249122331694528
1.050402511615058e-06,0.0003132914196358876
1.05040514538495e-06,0.000301354744144966
1.050408033340741e-06,0.0002886543715648862
1.050411175281025e-06,0.00027576786811752
1.050414560257835e-06,0.0002624169574153417
1.050418192504695e-06,0.0002491291706466982
1.05042207124541e-06,0.0002355973964596695
1.050426195356917e-06,0.0002223371023445861
1.050430569499419e-06,0.0002090393041769958
1.05043519790362e-06,0.0001961685510530009
1.050440086957326e-06,0.000183435035822563
1.050445247047163e-06,0.0001712542808955735
1.050450688172461e-06,0.0001593563971970094
1.050456426277935e-06,0.0001481132571942408
1.050462476527961e-06,0.0001372764886601
1.050468860575761e-06,0.000127175232462975
1.050475599928415e-06,0.0001175837194424082
1.050482722374572e-06,0.0001087860360992971
1.050490256970735e-06,0.0001005777384520046
1.050495128485368e-06,9.595422158698549e-05
1.0505e-06,9.165904031984832e-05
1.050506205153212e-06,8.697948523562472e-05
1.050512321877763e-06,8.273857952677805e-05
1.050519186124199e-06,7.856829231091875e-05
1.050532914617069e-06,7.180059783157401e-05
1.05056037160281e-06,6.28660201281406e-05
1.050615285574292e-06,5.464466106648135e-05
1.050685402708155e-06,5.048932326846126e-05
1.050761367446758e-06,4.763613931264518e-05
1.050842282223064e-06,4.506236040674538e-05
1.050939694902726e-06,4.235092467226322e-05
1.051089033808161e-06,3.890810082356696e-05
1.051307902064259e-06,3.520388968009681e-05
1.051745638576453e-06,3.118892974857271e-05
1.052431496064573e-06,2.931810490798259e-05
1.053137642706637e-06,2.902142614404194e-05
1.053908601332151e-06,2.898910067229166e-05
1.054793073500734e-06,2.899232447436996e-05
1.055091640856654e-06,2.899413288672015e-05
1.055240924534614e-06,2.899499390113814e-05
1.055259584994359e-06,2.899509902005599e-05
1.055277441608841e-06,2.899522023158107e-05
1.055286369916081e-06,2.899525496627796e-05
1.055297055131978e-06,2.899532456286044e-05
1.055304659977735e-06,2.89953858426119e-05
1.055309075723555e-06,2.899539517379316e-05
1.055311615906924e-06,2.899605472113677e-05
1.055313772189126e-06,2.900020254110832e-05
1.055316133896729e-06,2.901918556753199e-05
1.055318382859485e-06,2.906353075608931e-05
1.055319616504286e-06,2.910343030564819e-05
1.055320528502945e-06,2.914740109206467e-05
1.055321466037834e-06,2.923407055134589e-05
1.055322425275314e-06,2.950845502668753e-05
1.055323430357585e-06,3.072100875633351e-05
1.055324158748749e-06,3.359402510912657e-05
1.055324899141898e-06,4.050070524709433e-05
1.055325677857979e-06,5.439324080011649e-05
1.055326717446172e-06,8.450464742082694e-05
1.055327771694725e-06,0.0001258087751065799
1.055328914389536e-06,0.0001769437171931825
1.055330220022245e-06,0.0002342526988184712
1.055331955542772e-06,0.0002923725997060023
1.055333632974273e-06,0.000331984339147991
1.055335071941871e-06,0.0003856135370243175
1.055336595145854e-06,0.0004562807798300537
1.055338037958379e-06,0.0005049755350495047
1.055339336493954e-06,0.0005153313030444982
1.055340543308333e-06,0.000488241895358477
1.055341556107401e-06,0.0004317971803694841
1.055342486532203e-06,0.0003701673456299417
1.055343177326951e-06,0.000326016757666071
1.055343980582526e-06,0.0002818645150506009
1.055344899743217e-06,0.0002429227286218282
1.055345805054727e-06,0.0002133499087164957
1.055346771691631e-06,0.0001864748319469079
1.055347785042123e-06,0.0001608570231584789
1.055348854721045e-06,0.000136157686090326
1.055350017208451e-06,0.0001118140801485034
1.055351310274971e-06,8.799638506744108e-05
1.055352781222818e-06,6.704263324593034e-05
1.055354347459637e-06,5.266076380265363e-05
1.055355993980736e-06,4.287644482812838e-05
1.055357725090235e-06,3.617259679671582e-05
1.055359525432287e-06,3.225955287886825e-05
1.05536142184151e-06,3.029893441701236e-05
1.055363417250818e-06,2.945940506439036e-05
1.055365449581456e-06,2.915755260008795e-05
1.055367782161714e-06,3.009536483696359e-05
1.055370315158733e-06,6.088773585029787e-05
1.055372287549644e-06,0.0001319332499216881
1.055373734557273e-06,0.0001947715559927634
1.05537524649087e-06,0.0002524764701639932
1.055376908881114e-06,0.0003032920809816739
1.055378602034005e-06,0.0003517397859193982
1.055380210005514e-06,0.0004056147074395517
1.055382066233001e-06,0.0004820078096046016
1.055384029790853e-06,0.0005748719287779825
1.055386147924156e-06,0.000673930326956632
1.055388586495054e-06,0.0007649507840849944
1.055391081367567e-06,0.0008235345126626171
1.055394054749081e-06,0.0008503546105390503
1.055397251925567e-06,0.0008405219008525949
1.055400845432334e-06,0.0008016711870888959
1.055405192601165e-06,0.0007374230137875109
1.055409738986787e-06,0.000664265936274098
1.055415625889574e-06,0.0005709623053620595
1.055421825405137e-06,0.0004782656650893426
1.055429591060214e-06,0.0003725353127631261
1.055438404146573e-06,0.0002686445942150147
1.055448496044319e-06,0.000174060542988848
1.055460752019182e-06,9.746259853895425e-05
1.055475490328969e-06,5.257016331533066e-05
1.055490241349739e-06,3.66611620981177e-05
1.055506630998312e-06,3.143398090292141e-05
1.055524283789127e-06,2.985972394892844e-05
1.055543708173213e-06,2.932125387390154e-05
1.055567051970411e-06,2.910236510506746e-05
1.055592833702856e-06,2.902874798224679e-05
1.055622486442843e-06,2.900451353174341e-05
1.055656704314331e-06,2.899873171419114e-05
1.05569491673748e-06,2.899756843576674e-05
1.05573901141718e-06,2.899762520304875e-05
1.055788575275309e-06,2.899782964991709e-05
1.055845060182338e-06,2.899809810982904e-05
1.05590897368302e-06,2.899839324204251e-05
1.055981403092073e-06,2.899871926139881e-05
1.056063423350296e-06,2.89990788601042e-05
1.056156244718591e-06,2.899947191058072e-05
1.056261270471312e-06,2.899990165341975e-05
1.056380059607788e-06,2.900036710045398e-05
