P_inst (k_TG=3) X,P_inst (k_TG=3) Y
4.541654630508819e-08,-0.0003906182943694157
4.541803104611585e-08,-0.0003724285439329565
4.541948922965352e-08,-0.0003749462234225804
4.542095635225273e-08,-0.0003572364323719303
4.54224132532214e-08,-0.0003602587575385497
4.54238631847961e-08,-0.0003430350191983638
4.542533707797193e-08,-0.0003465001932220837
4.542687209640723e-08,-0.0003292549696923062
4.542853842202005e-08,-0.0003323946718681218
4.543034534961618e-08,-0.0003143733726392661
4.543228087157124e-08,-0.000316954438760728
4.543433093206741e-08,-0.000298398176875884
4.543647728575044e-08,-0.0003007272349615238
4.543871648322109e-08,-0.0002819336314892956
4.544104820106622e-08,-0.0002841792017986929
4.544342568167133e-08,-0.0002654006065056337
4.544582972585221e-08,-0.0002679929894412095
4.544825576753177e-08,-0.0002495982121502363
4.545069602375859e-08,-0.0002526869866335838
4.545315647524771e-08,-0.0002347656583975644
4.545564983375689e-08,-0.0002383158323891158
4.545819683824778e-08,-0.0002207490015347552
4.546082771210409e-08,-0.0002245432324725539
4.546358831282914e-08,-0.0002070423441782003
4.546653440652368e-08,-0.0002106866989483068
4.546970505313901e-08,-0.0001928790526812624
4.547307776530285e-08,-0.0001962278241965154
4.54766841010531e-08,-0.0001781795673957451
4.54805362249323e-08,-0.0001812262165844304
4.548464484534158e-08,-0.000162907828518216
4.54890317298573e-08,-0.0001656802681862779
4.549371080372626e-08,-0.0001471013438880468
4.549685540186313e-08,-0.0001525605656808431
4.55e-08,-0.0001369892773378257
4.550399453906695e-08,-0.0001334795541580834
4.550795366832759e-08,-0.0001271892985731521
4.551306058920941e-08,-0.0001199603511634318
4.55226127110854e-08,-0.0001075447712187788
4.554171695483739e-08,-8.669660741603877e-05
4.557004409370603e-08,-6.285065460065512e-05
4.560005109701625e-08,-4.433544980503738e-05
4.563338345990088e-08,-2.91223219722491e-05
4.567238499636317e-08,-1.723434831440871e-05
4.572389922067297e-08,-8.228907980906167e-06
4.578119762023879e-08,-3.975070134030128e-06
4.584490540970312e-08,-2.012637867972577e-06
4.592044773560085e-08,-1.44113394356013e-06
4.60200355453587e-08,-1.104060433298375e-06
4.615525532390089e-08,-1.190173669010324e-06
4.638450699651063e-08,-1.062057831823308e-06
4.674406456913431e-08,-1.175991858872378e-06
4.733580169760889e-08,-1.051473556869779e-06
4.814327128184856e-08,-1.167312169095949e-06
4.907163564092428e-08,-1.046495170541362e-06
5e-08,-1.164082595840466e-06
5.003125e-08,-6.398910979130272e-07
