P_inst (Vbp=1.1) X,P_inst (Vbp=1.1) Y,P_inst (Vbp=1.2) X,P_inst (Vbp=1.2) Y,P_inst (Vbp=1.3) X,P_inst (Vbp=1.3) Y,P_inst (Vbp=1.5) X,P_inst (Vbp=1.5) Y
1.001312678464128e-06,0.0001166633943430074,1.001348649100356e-06,0.0001195430498328331,1.001387016725782e-06,0.0001176459824135855,1.001490817118258e-06,8.866724792398226e-05
1.001315778038348e-06,0.0001135587581833585,1.001352291162636e-06,0.0001153542492525146,1.001390641048159e-06,0.0001138959106890338,1.001507294472476e-06,7.070720539368379e-05
1.001318572480973e-06,0.0001109782812908078,1.001355597965723e-06,0.0001122831952186887,1.001394335691224e-06,0.000110728334928162,1.001522605852119e-06,5.438171298477802e-05
1.001321781423417e-06,0.000108072099570896,1.001358755721497e-06,0.0001095362378182675,1.001398692603739e-06,0.0001071877465446925,1.001540672450934e-06,4.068921802256e-05
1.001325186890746e-06,0.0001049942030674265,1.001362010358398e-06,0.0001067437383666057,1.001402213035021e-06,0.0001043461612921564,1.001556210306538e-06,3.325615852718145e-05
1.001329846539778e-06,0.0001007098142464379,1.001365723939411e-06,0.0001035571889847428,1.001406605948561e-06,0.0001007704512707419,1.001578131246337e-06,2.691872236950317e-05
1.001336939050575e-06,9.374645988053409e-05,1.001371544975837e-06,9.842944363965508e-05,1.001415067206222e-06,9.341622509053208e-05,1.001617057689767e-06,2.106438024125325e-05
1.001351095351797e-06,7.694690026933158e-05,1.001380334494396e-06,8.978741760002486e-05,1.001428269266811e-06,7.918197625352943e-05,1.001669356738388e-06,1.673289496459695e-05
1.001362722382892e-06,6.268200037381737e-05,1.001394135602223e-06,7.341004358637637e-05,1.001441431917258e-06,6.367868206229684e-05,1.001743280502733e-06,1.284801632218448e-05
1.001378182743861e-06,4.75912038498929e-05,1.001406829127246e-06,5.856827002412177e-05,1.001456637227749e-06,4.875369223552204e-05,1.00183567926685e-06,9.735176090632023e-06
1.001391136516183e-06,3.910374833139978e-05,1.001424057386197e-06,4.367248913670761e-05,1.001471254239683e-06,3.89747199218902e-05,1.001960704341024e-06,7.286488115549307e-06
1.001405787103984e-06,3.28015821892121e-05,1.00143724405108e-06,3.631995575651635e-05,1.00148657138907e-06,3.232814874633717e-05,1.00213382820225e-06,5.519605107734787e-06
1.00142863442017e-06,2.6919234415988e-05,1.001454633037032e-06,3.012313666816572e-05,1.001511681872522e-06,2.597236282495344e-05,1.002270581465936e-06,4.65339051234598e-06
1.001468204343274e-06,2.134360646346217e-05,1.00148302218732e-06,2.438749302224651e-05,1.001551028270559e-06,2.069804437031832e-05,1.002404383847094e-06,4.07478116388888e-06
1.001518305976652e-06,1.703733330688979e-05,1.001527572671507e-06,1.937734222674648e-05,1.001605075041456e-06,1.63906073141103e-05,1.00257012780984e-06,3.605463600029872e-06
1.001583962777183e-06,1.327505254961837e-05,1.001585715862139e-06,1.52571242447561e-05,1.001674673590248e-06,1.274978054336626e-05,1.00290161573533e-06,3.131985477488817e-06
1.001665753499632e-06,1.023979590224606e-05,1.001660596355193e-06,1.175543525722594e-05,1.001766311335615e-06,9.663999313377159e-06,1.003431292421433e-06,2.905228027693613e-06
1.00177616007497e-06,7.931109344684512e-06,1.001757230246757e-06,8.96448411964503e-06,1.00188801837471e-06,7.363494901594851e-06,1.004078048153668e-06,2.856137818516767e-06
1.001813258184122e-06,7.411726284173492e-06,1.001886885183965e-06,6.945628513915393e-06,1.001929233113327e-06,6.851068759943198e-06,1.004873390576742e-06,2.847270303557788e-06
1.001887454402427e-06,6.543336961196592e-06,1.002017408752018e-06,5.675798357875752e-06,1.002011662590562e-06,6.011115830310658e-06,1.005897283331603e-06,2.84456235384804e-06
1.001970131619095e-06,5.77056149712704e-06,1.002121393628455e-06,4.949098121292932e-06,1.002106848680876e-06,5.259488281280772e-06,1.007354685676956e-06,2.842787017042741e-06
1.002087317743658e-06,4.939100510251939e-06,1.002239339179947e-06,4.344471388523352e-06,1.002238815511457e-06,4.498846671298213e-06,1.008677342838478e-06,2.841834476861699e-06
